scene,exp,variant,op,encoder,psnr,ssim,lpips,score,n_images
HCM0204,exp011,unsharp_r2_p100+jpeg90,unsharp_r2_p100,jpeg90,18.213,0.63823,0.17427,0.65836,60
HCM0204,exp011,unsharp_r2_p100+jpeg95,unsharp_r2_p100,jpeg95,18.2017,0.63791,0.17333,0.65855,60
HCM0204,exp011,unsharp_r2_p100+jpeg98,unsharp_r2_p100,jpeg98,18.1945,0.63739,0.17246,0.65869,60
HCM0204,exp011,unsharp_r2_p100+jpeg95_444,unsharp_r2_p100,jpeg95_444,18.1924,0.6373,0.17239,0.65868,60
HCM0204,exp011,unsharp_r2_p100+png,unsharp_r2_p100,png,18.1809,0.63695,0.17247,0.65845,60
HCM0204,exp011,bilateral_d5+jpeg75,bilateral_d5,jpeg75,20.4975,0.69313,0.17723,0.69078,60
HCM0204,exp011,bilateral_d5+jpeg90,bilateral_d5,jpeg90,20.5202,0.69598,0.18773,0.6876,60
HCM0204,exp011,bilateral_d5+jpeg95,bilateral_d5,jpeg95,20.5192,0.6965,0.18713,0.68799,60
HCM0204,exp011,bilateral_d5+jpeg98,bilateral_d5,jpeg98,20.5213,0.69686,0.18705,0.68815,60
HCM0204,exp011,bilateral_d5+jpeg95_444,bilateral_d5,jpeg95_444,20.5196,0.69657,0.18573,0.68858,60
HCM0204,exp011,bilateral_d5+png,bilateral_d5,png,20.5271,0.69741,0.18832,0.68785,60
HCM0204,exp011,nlmeans_h3+jpeg75,nlmeans_h3,jpeg75,20.4343,0.68981,0.19024,0.68411,60
HCM0204,exp011,nlmeans_h3+jpeg90,nlmeans_h3,jpeg90,20.4371,0.69187,0.19105,0.68442,60
HCM0204,exp011,nlmeans_h3+jpeg95,nlmeans_h3,jpeg95,20.4463,0.69277,0.19077,0.68487,60
HCM0204,exp011,nlmeans_h3+jpeg98,nlmeans_h3,jpeg98,20.4483,0.69291,0.18876,0.68573,60
HCM0204,exp011,nlmeans_h3+jpeg95_444,nlmeans_h3,jpeg95_444,20.4483,0.69265,0.18749,0.68616,60
HCM0204,exp011,nlmeans_h3+png,nlmeans_h3,png,20.4562,0.69334,0.18858,0.68599,60
